University_Name,Region,Academic_Year,Course_Name,Degree_Level,Subject_Area,Applications_Received,Offers_Made,Students_Admitted,Acceptance_Rate,Enrolment_Rate,Employment_After_6_Months_prcntge,Further_Study_Rate_prcntge,Unemployment_Rate_prcntge,Avg_Salary_GBP,Top_Job_Sector,Student_Population,International_Students_prcntge,Male_Female_Ratio,Student_Satisfaction_Score
University of Oxford,Greater London,2018-2019,Computer Science (Undergraduate),Undergraduate,Computer Science,2888,1739,1314,0.6,0.76,85.08,14.94,-0.02,24675,Legal,9694,20.25,0.81,72.17
University of Oxford,Greater London,2019-2020,Computer Science (Postgraduate),Postgraduate,Computer Science,766,570,513,0.74,0.9,77.54,16.6,5.86,22837,Education,9527,6.62,1.06,82.26
University of Oxford,Greater London,2020-2021,Computer Science (Undergraduate),Undergraduate,Computer Science,3675,2990,2519,0.81,0.84,70.41,14.34,15.25,32050,Education,8617,31.67,0.75,70.49
University of Oxford,Greater London,2021-2022,Computer Science (Undergraduate),Undergraduate,Computer Science,2569,1645,1131,0.64,0.69,94.15,13.55,-7.7,33672,Education,24425,29.33,1.05,60.05
University of Oxford,Greater London,2022-2023,Computer Science (Undergraduate),Undergraduate,Computer Science,2603,2068,1593,0.79,0.77,62.73,7.03,30.24,43591,Legal,35352,26.45,0.94,64.04
University of Oxford,Greater London,2018-2019,Business and Management (Undergraduate),Undergraduate,Business and Management,4544,3456,2962,0.76,0.86,93.89,9.7,-3.59,23948,Legal,11310,18.37,0.75,78.33
University of Oxford,Greater London,2019-2020,Business and Management (Undergraduate),Undergraduate,Business and Management,2460,1758,1196,0.71,0.68,64.98,13.61,21.41,28583,Finance,27333,11.83,1.29,88.46
University of Oxford,Greater London,2020-2021,Business and Management (Postgraduate),Postgraduate,Business and Management,3475,2921,2057,0.84,0.7,81.76,17.36,0.88,22659,Engineering,19938,24.96,1.05,72.78
University of Oxford,Greater London,2021-2022,Business and Management (Undergraduate),Undergraduate,Business and Management,3570,2512,1507,0.7,0.6,86.61,8.04,5.35,28327,Legal,24090,19.49,0.71,68.25
University of Oxford,Greater London,2022-2023,Business and Management (Postgraduate),Postgraduate,Business and Management,712,490,365,0.69,0.74,64.7,5.3,30,29259,Legal,21817,22.27,0.74,74.87
